event_id,timestamp,user_id,is_bot,bot_type,account_age_days,followers_count,following_count,profile_pic,bio_length,verified,location_consistent,ip_address,timezone_offset,video_id,creator_id,event_type,engagement_duration
e1,2025-08-10T15:39:46.710356,176,0,human,145,36,111,1,36,0,1,87.203.21.219,8,dbf2b927_tiktok_7475275532637113608_video.mp4,272,view,151.1
e2,2025-08-11T11:25:46.710356,176,0,human,145,36,111,1,36,0,1,87.203.21.219,8,dbf2b927_tiktok_7475275532637113608_video.mp4,272,view,1660.04
e3,2025-08-13T04:57:46.710447,176,0,human,145,36,111,1,36,0,1,87.203.21.219,8,55121cec_tiktok_7537686648633543967_video.mp4,365,like,1275.89
e4,2025-08-20T06:10:46.710467,176,0,human,145,36,111,1,36,0,1,87.203.21.219,8,19231843_tiktok_7087439225523670298_video.mp4,848,share,111.4
e5,2025-08-09T07:30:46.710492,169,0,human,609,27,101,1,29,0,1,204.28.92.96,-3,8567da8b_tiktok_7457504178152213767_video.mp4,44,view,910.87
e6,2025-08-09T17:30:46.710492,169,0,human,609,27,101,1,29,0,1,204.28.92.96,-3,8567da8b_tiktok_7457504178152213767_video.mp4,44,view,440.97
e7,2025-08-12T16:01:46.710492,169,0,human,609,27,101,1,29,0,1,204.28.92.96,-3,8567da8b_tiktok_7457504178152213767_video.mp4,44,view,843.44
e8,2025-08-31T11:55:46.710525,169,0,human,609,27,101,1,29,0,1,204.28.92.96,-3,4230e0d9_tiktok_7536846205121236246_video.mp4,858,view,641.65
e9,2025-09-01T18:20:46.710525,169,0,human,609,27,101,1,29,0,1,204.28.92.96,-3,4230e0d9_tiktok_7536846205121236246_video.mp4,858,view,1160.92
e10,2025-09-04T18:34:46.710525,169,0,human,609,27,101,1,29,0,1,204.28.92.96,-3,4230e0d9_tiktok_7536846205121236246_video.mp4,858,view,472.67
e11,2025-08-24T11:06:46.710555,169,0,human,609,27,101,1,29,0,1,204.28.92.96,-3,763d318a_tiktok_7521947798762212639_video.mp4,647,view,665.36
e12,2025-08-25T21:45:46.710555,169,0,human,609,27,101,1,29,0,1,204.28.92.96,-3,763d318a_tiktok_7521947798762212639_video.mp4,647,view,1267.72
e13,2025-08-06T14:08:46.710576,169,0,human,609,27,101,1,29,0,1,204.28.92.96,-3,6e03f5df_tiktok_7058278865063464197_video.mp4,300,view,1561.17
e14,2025-08-23T08:39:46.710596,100,0,human,169,36,828,1,10,0,1,200.25.191.128,7,dd0d6a4f_tiktok_7517418238339255583_video.mp4,476,like,1196.75
e15,2025-08-23T13:30:46.710596,100,0,human,169,36,828,1,10,0,1,200.25.191.128,7,dd0d6a4f_tiktok_7517418238339255583_video.mp4,476,like,1142.0
e16,2025-08-10T08:59:46.710630,100,0,human,169,36,828,1,10,0,1,200.25.191.128,7,21c207a8_tiktok_7533166179121188104_video.mp4,468,view,552.35
e17,2025-08-11T03:41:46.710630,100,0,human,169,36,828,1,10,0,1,200.25.191.128,7,21c207a8_tiktok_7533166179121188104_video.mp4,468,like,340.88
e18,2025-08-11T10:28:46.710630,100,0,human,169,36,828,1,10,0,1,200.25.191.128,7,21c207a8_tiktok_7533166179121188104_video.mp4,468,view,984.75
e19,2025-08-14T11:08:46.710661,100,0,human,169,36,828,1,10,0,1,200.25.191.128,7,9de979dc_tiktok_7534863996663467286_video.mp4,652,share,1701.21
e20,2025-08-15T16:07:46.710661,100,0,human,169,36,828,1,10,0,1,200.25.191.128,7,9de979dc_tiktok_7534863996663467286_video.mp4,652,share,552.4
e21,2025-08-03T14:34:46.710690,124,0,human,32,38,354,0,0,0,1,223.173.120.247,-9,1c747767_tiktok_7522090387679268102_video.mp4,241,comment,1742.07
e22,2025-08-27T15:07:46.710709,84,0,human,390,12,30,1,2,0,1,206.187.203.102,-10,2889f49a_tiktok_7540720764442430751_video.mp4,441,view,687.51
