event_id, timestamp                 , user_id       , is_bot, bot_type               , account_age_days, followers_count, following_count, profile_pic, bio_length, verified, location_consistent, ip_address     , timezone_offset, video_id, creator_id, event_type, engagement_duration
e1      , 2025-08-06T17:57:54.565625, human_user_126,      0, human                  ,              145,              36,             111,           1,         36,        0,                   1, 87.203.21.219  , 8              , v18     , creator_18, view      ,             1660.04
e2      , 2025-08-07T17:28:54.565625, human_user_126,      0, human                  ,              145,              36,             111,           1,         36,        0,                   1, 87.203.21.219  , 8              , v18     , creator_18, comment   ,             1351.78
e3      , 2025-08-12T13:41:54.565625, human_user_126,      0, human                  ,              145,              36,             111,           1,         36,        0,                   1, 87.203.21.219  , 8              , v18     , creator_18, view      ,              204.24
e4      , 2025-08-06T18:28:54.565844, human_user_126,      0, human                  ,              145,              36,             111,           1,         36,        0,                   1, 87.203.21.219  , 8              , v13     , creator_13, view      ,              129.33
e5      , 2025-08-09T06:45:54.565844, human_user_126,      0, human                  ,              145,              36,             111,           1,         36,        0,                   1, 87.203.21.219  , 8              , v13     , creator_13, view      ,              792.32
e6      , 2025-08-10T17:54:54.565844, human_user_126,      0, human                  ,              145,              36,             111,           1,         36,        0,                   1, 87.203.21.219  , 8              , v13     , creator_13, view      ,              759.33
e7      , 2025-08-03T07:37:54.565951, human_user_126,      0, human                  ,              145,              36,             111,           1,         36,        0,                   1, 87.203.21.219  , 8              , v11     , creator_11, view      ,             1645.71
e8      , 2025-08-05T06:21:54.565951, human_user_126,      0, human                  ,              145,              36,             111,           1,         36,        0,                   1, 87.203.21.219  , 8              , v11     , creator_11, view      ,              846.24
e9      , 2025-08-08T10:09:54.565951, human_user_126,      0, human                  ,              145,              36,             111,           1,         36,        0,                   1, 87.203.21.219  , 8              , v11     , creator_11, view      ,              481.93
e10     , 2025-08-11T08:53:54.566089, human_user_119,      0, human                  ,              609,              27,             101,           1,         29,        0,                   1, 3.238.174.140  , -3             , v3      , creator_3 , like      ,              382.61
e11     , 2025-08-11T14:55:54.566089, human_user_119,      0, human                  ,              609,              27,             101,           1,         29,        0,                   1, 3.238.174.140  , -3             , v3      , creator_3 , view      ,              885.28
e12     , 2025-08-16T13:02:54.566191, human_user_119,      0, human                  ,              609,              27,             101,           1,         29,        0,                   1, 3.238.174.140  , -3             , v15     , creator_15, view      ,             1267.72
e13     , 2025-08-13T08:17:54.566234, human_user_50 ,      0, human                  ,              169,              36,             828,           1,         10,        0,                   1, 6.202.3.145    , -4             , v20     , creator_20, view      ,             1156.81
e14     , 2025-08-13T09:17:54.566234, human_user_50 ,      0, human                  ,              169,              36,             828,           1,         10,        0,                   1, 6.202.3.145    , -4             , v20     , creator_20, view      ,             1229.64
e15     , 2025-08-15T17:23:54.566234, human_user_50 ,      0, human                  ,              169,              36,             828,           1,         10,        0,                   1, 6.202.3.145    , -4             , v20     , creator_20, like      ,             1196.75
e16     , 2025-08-28T07:24:54.566296, human_user_74 ,      0, human                  ,               32,              38,             354,           0,          0,        0,                   1, 215.70.25.232  , 8              , v10     , creator_10, view      ,             1353.04
e17     , 2025-08-28T14:12:54.566296, human_user_74 ,      0, human                  ,               32,              38,             354,           0,          0,        0,                   1, 215.70.25.232  , 8              , v10     , creator_10, view      ,              263.92
e18     , 2025-08-05T05:30:54.566346, human_user_34 ,      0, human                  ,              390,              12,              30,           1,          2,        0,                   1, 139.187.129.234, 4              , v6      , creator_6 , view      ,             1740.71
e19     , 2025-08-05T18:17:54.566346, human_user_34 ,      0, human                  ,              390,              12,              30,           1,          2,        0,                   1, 139.187.129.234, 4              , v6      , creator_6 , like      ,             1311.86
