event_id, timestamp                 , user_id       , is_bot, bot_type               , account_age_days, followers_count, following_count, profile_pic, bio_length, verified, location_consistent, ip_address     , timezone_offset, video_id, creator_id, event_type, engagement_duration
e1      , 2025-08-05T14:46:39.573590, human_user_296,      0, human                  ,              158,              96,              83,           1,         44,        0,                   1, 133.7.181.18   , 11             , v36     , creator_36, share     ,              519.42
e2      , 2025-08-05T18:22:39.573590, human_user_296,      0, human                  ,              158,              96,              83,           1,         44,        0,                   1, 133.7.181.18   , 11             , v36     , creator_36, view      ,              374.31
e3      , 2025-08-29T17:45:39.573820, bot_user_32   ,      1, sophisticated_bot      ,              294,            2049,             223,           1,         14,        0,                   1, 148.2.45.105   , 0              , v7      , creator_7 , view      ,                4.39
e4      , 2025-08-29T23:05:39.573820, bot_user_32   ,      1, sophisticated_bot      ,              294,            2049,             223,           1,         14,        0,                   1, 148.2.45.105   , 0              , v7      , creator_7 , view      ,                3.19
e5      , 2025-08-04T15:51:39.573886, bot_user_32   ,      1, sophisticated_bot      ,              294,            2049,             223,           1,         14,        0,                   1, 148.2.45.105   , 0              , v36     , creator_36, view      ,                1.61
e6      , 2025-08-11T19:25:39.573886, bot_user_32   ,      1, sophisticated_bot      ,              294,            2049,             223,           1,         14,        0,                   1, 148.2.45.105   , 0              , v36     , creator_36, view      ,                9.95
e7      , 2025-08-06T01:09:39.573934, bot_user_32   ,      1, sophisticated_bot      ,              294,            2049,             223,           1,         14,        0,                   1, 148.2.45.105   , 0              , v5      , creator_5 , view      ,                7.74
e8      , 2025-08-06T01:36:39.573934, bot_user_32   ,      1, sophisticated_bot      ,              294,            2049,             223,           1,         14,        0,                   1, 148.2.45.105   , 0              , v5      , creator_5 , view      ,                5.99
e9      , 2025-08-06T02:31:39.573934, bot_user_32   ,      1, sophisticated_bot      ,              294,            2049,             223,           1,         14,        0,                   1, 148.2.45.105   , 0              , v5      , creator_5 , view      ,                3.82
e10     , 2025-08-02T22:43:39.574005, bot_user_32   ,      1, sophisticated_bot      ,              294,            2049,             223,           1,         14,        0,                   1, 148.2.45.105   , 0              , v33     , creator_33, share     ,                2.71
e11     , 2025-08-22T00:27:39.574039, bot_user_32   ,      1, sophisticated_bot      ,              294,            2049,             223,           1,         14,        0,                   1, 148.2.45.105   , 0              , v19     , creator_19, view      ,                1.71
